Year,Price,Count
30 days - 1 yr,< 5,
30 days - 1 yr, 5 - 7,2
30 days - 1 yr,7 - 10,1
30 days - 1 yr,10 - 15,2
30 days - 1 yr,15 - 20,2
30 days - 1 yr,20 - 30,1
30 days - 1 yr,30 - 50,
30 days - 1 yr,Over $50,
30 days - 1 yr,Uncoded,1
1 - 2 yr,< 5,3
1 - 2 yr, 5 - 7,7
1 - 2 yr,7 - 10,4
1 - 2 yr,10 - 15,
1 - 2 yr,15 - 20,
1 - 2 yr,20 - 30,
1 - 2 yr,30 - 50,
1 - 2 yr,Over $50,
1 - 2 yr,Uncoded,2
2 - 5 yr,< 5,16
2 - 5 yr, 5 - 7,8
2 - 5 yr,7 - 10,22
2 - 5 yr,10 - 15,12
2 - 5 yr,15 - 20,19
2 - 5 yr,20 - 30,5
2 - 5 yr,30 - 50,2
2 - 5 yr,Over $50,1
2 - 5 yr,Uncoded,21
5+ yr,< 5,11
5+ yr, 5 - 7,11
5+ yr,7 - 10,33
5+ yr,10 - 15,5
5+ yr,15 - 20,19
5+ yr,20 - 30,10
5+ yr,30 - 50,4
5+ yr,Over $50,1
5+ yr,Uncoded,13
Pre-open,< 5,
Pre-open, 5 - 7,2
Pre-open,7 - 10,1
Pre-open,10 - 15,
Pre-open,15 - 20,1
Pre-open,20 - 30,
Pre-open,30 - 50,
Pre-open,Over $50,
Pre-open,Uncoded,1
