Year ,Price,Pct_age_Price,Total_PriceRange,Count
30 days - 1 yr, < 5,0,30,0
30 days - 1 yr,5 - 7,0.06666666667,30,2
30 days - 1 yr,7 - 10,0.01639344262,61,1
30 days - 1 yr,10 - 15,0.1052631579,19,2
30 days - 1 yr,15 - 20,0.0487804878,41,2
30 days - 1 yr,20 - 30,0.0625,16,1
30 days - 1 yr,30 - 50,0,6,0
30 days - 1 yr,Over $50,0,2,0
30 days - 1 yr,Uncoded,0.02631578947,38,1
1 - 2 yr, < 5,0.1,,3
1 - 2 yr,5 - 7,0.2333333333,,7
1 - 2 yr,7 - 10,0.06557377049,,4
1 - 2 yr,10 - 15,0,,0
1 - 2 yr,15 - 20,0,,0
1 - 2 yr,20 - 30,0,,0
1 - 2 yr,30 - 50,0,,0
1 - 2 yr,Over $50,0,,0
1 - 2 yr,Uncoded,0.05263157895,,2
2 - 5 yr, < 5,0.5333333333,,16
2 - 5 yr,5 - 7,0.2666666667,,8
2 - 5 yr,7 - 10,0.3606557377,,22
2 - 5 yr,10 - 15,0.6315789474,,12
2 - 5 yr,15 - 20,0.4634146341,,19
2 - 5 yr,20 - 30,0.3125,,5
2 - 5 yr,30 - 50,0.3333333333,,2
2 - 5 yr,Over $50,0.5,,1
2 - 5 yr,Uncoded,0.5526315789,,21
5+ yr, < 5,0.3666666667,,11
5+ yr,5 - 7,0.3666666667,,11
5+ yr,7 - 10,0.5409836066,,33
5+ yr,10 - 15,0.2631578947,,5
5+ yr,15 - 20,0.4634146341,,19
5+ yr,20 - 30,0.625,,10
5+ yr,30 - 50,0.6666666667,,4
5+ yr,Over $50,0.5,,1
5+ yr,Uncoded,0.3421052632,,13
Pre-open, < 5,0,,0
Pre-open,5 - 7,0.06666666667,,2
Pre-open,7 - 10,0.01639344262,,1
Pre-open,10 - 15,0,,0
Pre-open,15 - 20,0.0243902439,,1
Pre-open,20 - 30,0,,0
Pre-open,30 - 50,0,,0
Pre-open,Over $50,0,,0
Pre-open,Uncoded,0.02631578947,,1
