Year ,Price,Pct_age_Price,Total_PriceRange,Count
30 days - 1 yr, < 5,0,9,0
30 days - 1 yr,5 - 7,0.2222222222,16,2
30 days - 1 yr,7 - 10,0.1111111111,106,1
30 days - 1 yr,10 - 15,0.2222222222,107,2
30 days - 1 yr,15 - 20,0.2222222222,5,2
30 days - 1 yr,20 - 30,0.1111111111,,1
30 days - 1 yr,30 - 50,0,,0
30 days - 1 yr,Over $50,0,,0
30 days - 1 yr,Uncoded,0.1111111111,,1
1 - 2 yr, < 5,0.1875,,3
1 - 2 yr,5 - 7,0.4375,,7
1 - 2 yr,7 - 10,0.25,,4
1 - 2 yr,10 - 15,0,,0
1 - 2 yr,15 - 20,0,,0
1 - 2 yr,20 - 30,0,,0
1 - 2 yr,30 - 50,0,,0
1 - 2 yr,Over $50,0,,0
1 - 2 yr,Uncoded,0.125,,2
2 - 5 yr, < 5,0.1509433962,,16
2 - 5 yr,5 - 7,0.07547169811,,8
2 - 5 yr,7 - 10,0.2075471698,,22
2 - 5 yr,10 - 15,0.1132075472,,12
2 - 5 yr,15 - 20,0.179245283,,19
2 - 5 yr,20 - 30,0.04716981132,,5
2 - 5 yr,30 - 50,0.01886792453,,2
2 - 5 yr,Over $50,0.009433962264,,1
2 - 5 yr,Uncoded,0.1981132075,,21
5+ yr, < 5,0.1028037383,,11
5+ yr,5 - 7,0.1028037383,,11
5+ yr,7 - 10,0.308411215,,33
5+ yr,10 - 15,0.04672897196,,5
5+ yr,15 - 20,0.1775700935,,19
5+ yr,20 - 30,0.09345794393,,10
5+ yr,30 - 50,0.03738317757,,4
5+ yr,Over $50,0.009345794393,,1
5+ yr,Uncoded,0.1214953271,,13
Pre-open, < 5,0,,0
Pre-open,5 - 7,0.4,,2
Pre-open,7 - 10,0.2,,1
Pre-open,10 - 15,0,,0
Pre-open,15 - 20,0.2,,1
Pre-open,20 - 30,0,,0
Pre-open,30 - 50,0,,0
Pre-open,Over $50,0,,0
Pre-open,Uncoded,0.2,,1
